Company Name,Form Type,CIK,Date Filed,File Name,Error
Hawk Hill Capital Partners LP,13F-NT,1387292,20240514,edgar/data/1387292/0001387292-24-000009.txt,AUM not found or could not be parsed
"HPS Mezzanine Management III, LLC",13F-NT,1837859,20240514,edgar/data/1837859/0000950142-24-001346.txt,AUM not found or could not be parsed
Invesco Asset Management (Japan) Ltd,13F-NT,814519,20240514,edgar/data/814519/0000914208-24-000291.txt,AUM not found or could not be parsed
Invesco Asset Management Deutschland GmbH,13F-NT,1824875,20240514,edgar/data/1824875/0000914208-24-000287.txt,AUM not found or could not be parsed
Invesco Australia Ltd,13F-NT,1824868,20240514,edgar/data/1824868/0000914208-24-000289.txt,AUM not found or could not be parsed
Hall Capital Partners LLC,13F-NT,1616461,20240514,edgar/data/1616461/0000899140-24-000581.txt,AUM not found or could not be parsed
"Invesco Managed Accounts, LLC",13F-NT,2010271,20240514,edgar/data/2010271/0000914208-24-000303.txt,AUM not found or could not be parsed
HERMES INVESTMENT MANAGEMENT LTD,13F-NT,1013143,20240514,edgar/data/1013143/0001623632-24-000594.txt,AUM not found or could not be parsed
Invesco Trust Co,13F-NT,1608102,20240514,edgar/data/1608102/0000914208-24-000305.txt,AUM not found or could not be parsed
Invesco Capital Management LLC,13F-NT,1224696,20240514,edgar/data/1224696/0000914208-24-000309.txt,AUM not found or could not be parsed
"Invesco Advisers, Inc.",13F-NT,20430,20240514,edgar/data/20430/0000914208-24-000285.txt,AUM not found or could not be parsed
Invesco Asset Management Singapore Ltd.,13F-NT,1928786,20240514,edgar/data/1928786/0000914208-24-000295.txt,AUM not found or could not be parsed
JOHN HANCOCK LIFE INSURANCE CO USA,13F-NT,1073894,20240514,edgar/data/1073894/0001573679-24-000017.txt,AUM not found or could not be parsed
Invesco Taiwan Ltd,13F-NT,1928783,20240514,edgar/data/1928783/0000914208-24-000307.txt,AUM not found or could not be parsed
JOHNSON BANK,13F-NT,902143,20240514,edgar/data/902143/0000892712-24-000077.txt,AUM not found or could not be parsed
Invesco Canada Ltd.,13F-NT,1131154,20240514,edgar/data/1131154/0000914208-24-000283.txt,AUM not found or could not be parsed
Invesco Management S.A.,13F-NT,1824867,20240514,edgar/data/1824867/0000914208-24-000297.txt,AUM not found or could not be parsed
"KEYBANC CAPITAL MARKETS,INC /OH/",13F-NT,1074714,20240514,edgar/data/1074714/0001089877-24-000025.txt,AUM not found or could not be parsed
Johnson Wealth Inc.,13F-NT,1682139,20240514,edgar/data/1682139/0000892712-24-000078.txt,AUM not found or could not be parsed
Invesco Hong Kong Ltd,13F-NT,1824864,20240514,edgar/data/1824864/0000914208-24-000299.txt,AUM not found or could not be parsed
JOHN HANCOCK INVESTMENT MANAGEMENT LLC,13F-NT,1230788,20240514,edgar/data/1230788/0001573679-24-000018.txt,AUM not found or could not be parsed
Invesco Investment Advisers LLC,13F-NT,1088928,20240514,edgar/data/1088928/0000914208-24-000301.txt,AUM not found or could not be parsed
LANSDOWNE DEVELOPED MARKETS LONG ONLY MASTER FUND LTD,13F-NT,1598751,20240514,edgar/data/1598751/0000919574-24-002898.txt,AUM not found or could not be parsed
LGT Capital Partners (Asia-Pacific) Ltd,13F-NT,2014044,20240514,edgar/data/2014044/0002014044-24-000001.txt,AUM not found or could not be parsed
"LOOMIS SAYLES TRUST COMPANY, LLC",13F-NT,1435066,20240514,edgar/data/1435066/0001435066-24-000004.txt,AUM not found or could not be parsed
LANSDOWNE DMLO DAVIES STREET LP,13F-NT,1644532,20240514,edgar/data/1644532/0000919574-24-002892.txt,AUM not found or could not be parsed
Key National Trust Co of Delaware,13F-NT,2011135,20240514,edgar/data/2011135/0001089877-24-000026.txt,AUM not found or could not be parsed
Legal & General Investment Management Ltd,13F-NT,1495115,20240514,edgar/data/1495115/0001495115-24-000008.txt,AUM not found or could not be parsed
Legal & General Investment Management America Inc,13F-NT,1559265,20240514,edgar/data/1559265/0001559265-24-000002.txt,AUM not found or could not be parsed
"LINCOLN INVESTMENT PLANNING, LLC",13F-NT,59546,20240514,edgar/data/59546/0000059546-24-000008.txt,AUM not found or could not be parsed
LAZARD ASSET MANAGEMENT LTD,13F-NT,1050471,20240514,edgar/data/1050471/0001207017-24-000028.txt,AUM not found or could not be parsed
MACQUARIE INVESTMENT MANAGEMENT BUSINESS TRUST,13F-NT,727770,20240514,edgar/data/727770/0000950123-24-004988.txt,AUM not found or could not be parsed
LANSDOWNE DM LONG ONLY CAYMAN MASTER LP,13F-NT,1598759,20240514,edgar/data/1598759/0000919574-24-002894.txt,AUM not found or could not be parsed
MANULIFE FINANCIAL CORP,13F-NT,1086888,20240514,edgar/data/1086888/0001573679-24-000011.txt,AUM not found or could not be parsed
MANULIFE INVESTMENT MANAGEMENT (US) LLC,13F-NT,1034182,20240514,edgar/data/1034182/0001573679-24-000014.txt,AUM not found or could not be parsed
LGIM Singapore PTE Ltd,13F-NT,2000219,20240514,edgar/data/2000219/0002000219-24-000005.txt,AUM not found or could not be parsed
MACQUARIE BANK LTD,13F-NT,1257135,20240514,edgar/data/1257135/0000950123-24-004990.txt,AUM not found or could not be parsed
MFS Heritage Trust CO,13F-NT,1443067,20240514,edgar/data/1443067/0001443067-24-000007.txt,AUM not found or could not be parsed
MFS INVESTMENT MANAGEMENT CANADA LTD,13F-NT,1140601,20240514,edgar/data/1140601/0001140601-24-000007.txt,AUM not found or could not be parsed
MFS International Australia Pty Ltd,13F-NT,1694966,20240514,edgar/data/1694966/0001694966-24-000007.txt,AUM not found or could not be parsed
MFS Investment Management K.K.,13F-NT,1442857,20240514,edgar/data/1442857/0001442857-24-000008.txt,AUM not found or could not be parsed
MFS Investment Management CO (LUX) S.A.R.L.,13F-NT,1442898,20240514,edgar/data/1442898/0001442898-24-000007.txt,AUM not found or could not be parsed
MIZUHO FINANCIAL GROUP INC,13F-NT,1335730,20240514,edgar/data/1335730/0000950123-24-004827.txt,AUM not found or could not be parsed
Invesco Asset Management Ltd,13F-NT,1113957,20240514,edgar/data/1113957/0000914208-24-000293.txt,AUM not found or could not be parsed
Macquarie Investment Management Austria Kapitalanlage AG,13F-NT,1548607,20240514,edgar/data/1548607/0000950123-24-004966.txt,AUM not found or could not be parsed
Macquarie Investment Management Global Ltd,13F-NT,1435946,20240514,edgar/data/1435946/0000950123-24-004987.txt,AUM not found or could not be parsed
Maven Investment Partners Ltd,13F-NT,1759004,20240514,edgar/data/1759004/0001633046-24-000004.txt,AUM not found or could not be parsed
Manulife Investment Management (Europe) Ltd,13F-NT,1528732,20240514,edgar/data/1528732/0001573679-24-000015.txt,AUM not found or could not be parsed
Manulife Investment Management Ltd,13F-NT,1343498,20240514,edgar/data/1343498/0001573679-24-000012.txt,AUM not found or could not be parsed
Manulife Investment Management (Hong Kong) Ltd,13F-NT,1553998,20240514,edgar/data/1553998/0001573679-24-000016.txt,AUM not found or could not be parsed
Maven Investment Partners US Ltd,13F-NT,1796861,20240514,edgar/data/1796861/0001633046-24-000003.txt,AUM not found or could not be parsed
Milky Way Investments Group Ltd.,13F-NT,1845150,20240514,edgar/data/1845150/0000950123-24-005119.txt,AUM not found or could not be parsed
"Mallard Holdco, LLC",13F-NT,1850753,20240514,edgar/data/1850753/0000950123-24-004838.txt,AUM not found or could not be parsed
